delta_FPOGX,delta_FPOGY,delta_LPD,delta_RPD,delta_FPOGD,delta_BPOGX,delta_BPOGY,delta_BKDUR
-0.00028999999999995696,-0.00031999999999998696,-0.686040000000002,0.34863,0.006830000000000003,0.005949999999999955,0.007039999999999991,0.0
-1.0000000000010001e-05,-0.0005600000000000049,0.08142000000000138,0.20024999999999693,0.006839999999999999,0.0043400000000000105,-0.004959999999999992,0.0
-2.0000000000020002e-05,-0.0005199999999999927,0.46700999999999837,-0.19464999999999932,0.006830000000000003,-0.00020999999999998797,-0.00034000000000000696,0.0
0.0005499999999999949,-6.0000000000004494e-05,0.14857999999999905,-0.4640599999999999,0.005860000000000004,0.01162000000000002,0.00825999999999999,0.0
-0.0006799999999999584,0.0003100000000000047,-0.3649699999999996,0.16946000000000083,0.007809999999999984,-0.025050000000000017,0.007480000000000014,0.0
-0.0005900000000000349,0.0004200000000000037,0.33562000000000225,-0.11575999999999809,0.005860000000000004,0.0008600000000000274,0.003129999999999994,0.0
0.00020999999999998797,-0.00020000000000000573,-0.44066000000000116,-0.19605000000000317,0.006840000000000013,0.01700999999999997,-0.013419999999999987,0.0
0.0005700000000000149,-0.0006899999999999962,-0.10866000000000042,-0.1808199999999971,0.007809999999999984,0.009190000000000031,-0.012150000000000022,0.0
0.0005200000000000204,-0.0006300000000000194,0.0231899999999996,0.26027999999999807,0.005860000000000004,1.999999999996449e-05,7.999999999999674e-05,0.0
-0.0006099999999999994,-0.0002500000000000002,0.13374999999999915,0.21996000000000038,0.006840000000000013,-0.028549999999999964,0.008640000000000009,0.0
1.0000000000010001e-05,0.0006400000000000017,-0.2079999999999984,0.024439999999998463,0.006829999999999975,0.015569999999999973,0.023389999999999994,0.0
9.99999999995449e-06,0.0005900000000000072,-0.22312000000000154,-0.005319999999997549,0.005860000000000004,0.0,0.0,0.0
0.00037999999999999146,0.00012000000000000899,0.1741400000000013,0.389289999999999,0.007820000000000021,0.010709999999999997,-0.012359999999999982,0.0
0.00018000000000001348,-0.0003700000000000092,-0.17086000000000112,0.15274000000000143,0.005859999999999976,-0.005209999999999992,-0.014500000000000013,0.0
0.00012000000000000899,-0.0005300000000000027,0.5190300000000008,-0.15959000000000145,0.006830000000000003,-0.0013000000000000234,-0.005649999999999988,0.0
8.999999999997899e-05,0.0004099999999999937,0.6124399999999994,0.09527999999999892,0.006840000000000013,-0.0008900000000000019,0.028829999999999995,0.0
0.00036000000000002697,0.00035000000000001696,0.13761000000000223,0.47728000000000037,0.006830000000000003,0.009209999999999996,-0.0009800000000000086,0.0
0.00035000000000001696,0.00032999999999999696,-0.11127000000000109,-0.21691999999999823,0.006839999999999985,0.0,0.0,0.0
-8.00000000000245e-05,-0.0003700000000000092,-0.8600600000000007,-0.7402300000000004,0.005860000000000004,-0.013809999999999989,-0.023900000000000005,0.0
-0.00035000000000001696,-0.0005300000000000027,0.26725000000000065,0.1695399999999978,0.006830000000000003,-0.010160000000000002,-0.006719999999999976,0.0
-0.00032999999999999696,-0.0005099999999999827,-0.05612999999999957,-0.1614799999999974,0.006840000000000013,0.0,0.0,0.0
-0.00012999999999996348,-0.00029000000000001247,0.04024000000000072,-0.1169600000000024,0.006840000000000013,0.006720000000000004,0.007339999999999985,0.0
7.999999999996898e-05,-0.0004800000000000082,-0.21208000000000027,0.2559100000000001,0.006830000000000003,0.00827,-0.008289999999999992,0.0
8.00000000000245e-05,-0.0004599999999999882,0.33832999999999913,0.376850000000001,0.006839999999999957,0.0,0.0,0.0
0.00030999999999997696,0.0007300000000000084,0.15922000000000125,0.14395999999999987,0.006830000000000003,0.010070000000000023,0.04819999999999999,0.0
0.0005000000000000004,0.0005799999999999972,-0.15444000000000102,-0.1721800000000009,0.007819999999999994,0.007940000000000003,-0.005289999999999989,0.0
0.00048000000000003595,0.0006099999999999994,0.08729999999999905,-0.11291999999999902,0.0048799999999999955,0.0005999999999999894,0.002599999999999991,0.0
-7.00000000000145e-05,-6.0000000000004494e-05,-0.14048999999999978,0.10543000000000191,0.006840000000000013,-0.02348,-0.02840999999999999,0.0
