file,column,outlier_rate
Princeton_T1_User 16_features.csv,delta_FPOGY,0.08333333333333333
Princeton_T1_User 16_features.csv,delta_LPD,0.018
Princeton_T1_User 16_features.csv,delta_RPD,0.03
Princeton_T1_User 16_features.csv,delta_FPOGD,0.16733333333333333
Princeton_T1_User 16_features.csv,delta_BPOGX,0.06466666666666666
Princeton_T1_User 16_features.csv,delta_BPOGY,0.02666666666666667
Princeton_T1_User 16_features.csv,delta_BKDUR,0.0
Princeton_T1_User 25_features.csv,delta_FPOGX,0.16333333333333333
Princeton_T1_User 25_features.csv,delta_FPOGY,0.14733333333333334
Princeton_T1_User 25_features.csv,delta_LPD,0.018666666666666668
Princeton_T1_User 25_features.csv,delta_RPD,0.03933333333333333
Princeton_T1_User 25_features.csv,delta_FPOGD,0.17933333333333334
Princeton_T1_User 25_features.csv,delta_BPOGX,0.10533333333333333
Princeton_T1_User 25_features.csv,delta_BPOGY,0.06733333333333333
Princeton_T1_User 25_features.csv,delta_BKDUR,0.0
Princeton_T1_User 26_features.csv,delta_FPOGX,0.09866666666666667
Princeton_T1_User 26_features.csv,delta_FPOGY,0.08933333333333333
Princeton_T1_User 26_features.csv,delta_LPD,0.02266666666666667
Princeton_T1_User 26_features.csv,delta_RPD,0.022
Princeton_T1_User 26_features.csv,delta_FPOGD,0.162
Princeton_T1_User 26_features.csv,delta_BPOGX,0.048
Princeton_T1_User 26_features.csv,delta_BPOGY,0.024
Princeton_T1_User 26_features.csv,delta_BKDUR,0.0
Princeton_T1_User 5_features.csv,delta_FPOGX,0.17133333333333334
Princeton_T1_User 5_features.csv,delta_FPOGY,0.12466666666666666
Princeton_T1_User 5_features.csv,delta_LPD,0.024
Princeton_T1_User 5_features.csv,delta_RPD,0.02
Princeton_T1_User 5_features.csv,delta_FPOGD,0.228
Princeton_T1_User 5_features.csv,delta_BPOGX,0.088
Princeton_T1_User 5_features.csv,delta_BPOGY,0.051333333333333335
Princeton_T1_User 5_features.csv,delta_BKDUR,0.0
Princeton_T1_User 9_features.csv,delta_FPOGX,0.14333333333333334
Princeton_T1_User 9_features.csv,delta_FPOGY,0.098
Princeton_T1_User 9_features.csv,delta_LPD,0.02
Princeton_T1_User 9_features.csv,delta_RPD,0.019333333333333334
Princeton_T1_User 9_features.csv,delta_FPOGD,0.20466666666666666
Princeton_T1_User 9_features.csv,delta_BPOGX,0.066
Princeton_T1_User 9_features.csv,delta_BPOGY,0.04
