input_file,output_file,rows_in,rows_out,padded_rows,truncated_rows,n_cols_out,columns_ok
yale_t1_user22_gaze.csv,yale_t1_user22_features.csv,12246,1500,0,10746,16,1
yale_t1_user35_gaze.csv,yale_t1_user35_features.csv,18626,1500,0,17126,16,1
yale_t2_user11_gaze.csv,yale_t2_user11_features.csv,13207,1500,0,11707,16,1
yale_t2_user27_gaze.csv,yale_t2_user27_features.csv,4052,1500,0,2552,16,1
yale_t2_user32_gaze.csv,yale_t2_user32_features.csv,5332,1500,0,3832,16,1
yale_t2_user3_gaze.csv,yale_t2_user3_features.csv,20106,1500,0,18606,16,1
yale_t2_user9_gaze.csv,yale_t2_user9_features.csv,9709,1500,0,8209,16,1
yale_t3_user15_gaze.csv,yale_t3_user15_features.csv,15594,1500,0,14094,16,1
yale_t3_user19_gaze.csv,yale_t3_user19_features.csv,45665,1500,0,44165,16,1
yale_t3_user21_gaze.csv,yale_t3_user21_features.csv,6786,1500,0,5286,16,1
yale_t3_user25_gaze.csv,yale_t3_user25_features.csv,18241,1500,0,16741,16,1
yale_t3_user29_gaze.csv,yale_t3_user29_features.csv,11127,1500,0,9627,16,1
yale_t3_user30_gaze.csv,yale_t3_user30_features.csv,32794,1500,0,31294,16,1
yale_t3_user33_gaze.csv,yale_t3_user33_features.csv,7019,1500,0,5519,16,1
